fusion	chr	start	end
PBfusion.1	chr10	4168612	4169183
PBfusion.1	chr10	14033260	14034564
PBfusion.2	chr4	5127692	5127807
PBfusion.2	chr4	29963480	29964183
PBfusion.3	chr2	62084123	62089420
PBfusion.3	chr2	126666041	126714382
PBfusion.4	chr2	98334995	98335255
PBfusion.4	chr2	197885400	197885826
PBfusion.5	chr5	5434509	5434736
PBfusion.5	chr5	19817565	19833466
PBfusion.6	chr7	18865541	18866237
PBfusion.6	chr7	120206926	120207340
PBfusion.7	chr6	10674456	10674781
PBfusion.7	chr6	157563663	157563932
PBfusion.8	chr10	6597015	6597765
PBfusion.8	chr10	109506724	109508231
PBfusion.9	chr8	124238883	124238994
PBfusion.9	chr8	174875725	174876539
PBfusion.10	chr4	5145313	5145977
PBfusion.10	chr4	29951896	29952662
PBfusion.11	chr4	5158382	5158560
PBfusion.11	chr4	5540370	5540783
PBfusion.12	chr1	34366783	34367109
PBfusion.12	chr1	181895455	181907672
PBfusion.13	chr5	14084340	14084609
PBfusion.13	chr5	16063322	16063806
PBfusion.14	chr1	42373948	42375086
PBfusion.14	chr1	260399657	260400007
PBfusion.15	chr8	119781619	119782503
PBfusion.15	chr8	120141885	120146457
PBfusion.16	chr8	23344279	23344687
PBfusion.16	chr8	141131620	141134358
PBfusion.17	chr5	74455014	74455839
PBfusion.17	chr5	215869770	215870069
PBfusion.18	chr7	18877383	18878295
PBfusion.18	chr7	120207231	120207466
PBfusion.19	chr1	48612382	48612693
PBfusion.19	chr1	208340925	208341435
PBfusion.20	chr3	86584327	86584531
PBfusion.20	chr3	152865655	152866224
PBfusion.21	chr6	11207485	11207793
PBfusion.21	chr6	134491250	134522145
PBfusion.22	chr4	5540304	5540461
PBfusion.22	chr4	21335293	21335958
PBfusion.23	chr6	6679675	6679933
PBfusion.23	chr6	104281129	104281615
PBfusion.24	chr7	18877383	18878295
PBfusion.24	chr7	120206926	120207340
PBfusion.26	chr2	16562737	16563164
PBfusion.26	chr2	85452890	85453185
PBfusion.27	chr2	32272925	32273495
PBfusion.27	chr2	126252861	126253207
PBfusion.28	chr2	48760283	48762753
PBfusion.28	chr2	210705859	210710570
PBfusion.29	chr2	85300073	85304334
PBfusion.29	chr2	214430380	214539577
PBfusion.30	chr7	165283108	165283552
PBfusion.30	chr7	169230842	169231697
PBfusion.31	chr10	5722838	5731537
PBfusion.31	chr10	14033260	14034564
PBfusion.32	chr1	173335591	173336605
PBfusion.32	chr1	283239863	283241269
PBfusion.33	chr1	42373948	42375086
PBfusion.33	chr1	269102858	269103545
PBfusion.34	chr2	6497467	6497918
PBfusion.34	chr2	176889679	176890115
PBfusion.35	chr2	66528248	66530288
PBfusion.35	chr2	155412899	155413405
PBfusion.36	chr4	14877148	14877420
PBfusion.36	chr4	29678991	29679370
PBfusion.37	chr4	163680834	163681158
PBfusion.37	chr4	207682821	207683211
PBfusion.38	chr4	5123057	5123399
PBfusion.38	chr4	29951777	29952229
PBfusion.39	chr4	67970910	67975284
PBfusion.39	chr4	70642408	70643307
PBfusion.40	chr5	138860095	138860250
PBfusion.40	chr5	187014591	187014904
PBfusion.41	chr5	20719104	20719463
PBfusion.41	chr6	20388289	20493638
PBfusion.42	chr5	59500405	59501307
PBfusion.42	chr5	202628131	202628326
PBfusion.43	chr5	66460475	66466346
PBfusion.43	chr5	75679161	75679597
PBfusion.44	chr6	10517476	10517644
PBfusion.44	chr6	21940799	21943808
PBfusion.45	chr6	90209197	90211568
PBfusion.45	chr6	152231948	152232507
PBfusion.46	chr6	99582341	99582841
PBfusion.46	chr6	152229213	152229450
