chrom,start,end,name,gieStain
chr9,0,2200000,p24.3,gneg
chr9,2200000,4600000,p24.2,gpos25
chr9,4600000,9000000,p24.1,gneg
chr9,9000000,14200000,p23,gpos75
chr9,14200000,16600000,p22.3,gneg
chr9,16600000,18500000,p22.2,gpos25
chr9,18500000,19900000,p22.1,gneg
chr9,19900000,25600000,p21.3,gpos100
chr9,25600000,28000000,p21.2,gneg
chr9,28000000,33200000,p21.1,gpos100
chr9,33200000,36300000,p13.3,gneg
chr9,36300000,38400000,p13.2,gpos25
chr9,38400000,41000000,p13.1,gneg
chr9,41000000,43600000,p12,gpos50
chr9,43600000,47300000,p11.2,gneg
chr9,47300000,49000000,p11.1,acen
chr9,49000000,50700000,q11,acen
chr9,50700000,65900000,q12,gvar
chr9,65900000,68700000,q13,gneg
chr9,68700000,72200000,q21.11,gpos25
chr9,72200000,74000000,q21.12,gneg
chr9,74000000,79200000,q21.13,gpos50
chr9,79200000,81100000,q21.2,gneg
chr9,81100000,84100000,q21.31,gpos50
chr9,84100000,86900000,q21.32,gneg
chr9,86900000,90400000,q21.33,gpos50
chr9,90400000,91800000,q22.1,gneg
chr9,91800000,93900000,q22.2,gpos25
chr9,93900000,96600000,q22.31,gneg
chr9,96600000,99300000,q22.32,gpos25
chr9,99300000,102600000,q22.33,gneg
chr9,102600000,108200000,q31.1,gpos100
chr9,108200000,111300000,q31.2,gneg
chr9,111300000,114900000,q31.3,gpos25
chr9,114900000,117700000,q32,gneg
chr9,117700000,122500000,q33.1,gpos75
chr9,122500000,125800000,q33.2,gneg
chr9,125800000,130300000,q33.3,gpos25
chr9,130300000,133500000,q34.11,gneg
chr9,133500000,134000000,q34.12,gpos25
chr9,134000000,135900000,q34.13,gneg
chr9,135900000,137400000,q34.2,gpos25
chr9,137400000,141213431,q34.3,gneg
